IID phenotype
HG01879 0
HG01880 0
HG01882 0
HG01883 0
HG01885 0
HG01886 0
HG01889 0
HG01890 0
HG01894 0
HG01896 0
HG01912 0
HG01914 0
HG01915 0
HG01956 0
HG01958 0
HG01985 0
HG01986 0
HG01988 0
HG01989 0
HG01990 0
HG02009 0
HG02010 0
HG02012 0
HG02013 0
HG02014 0
HG02051 0
HG02052 0
HG02053 0
HG02054 0
HG02095 0
HG02107 0
HG02108 0
HG02111 0
HG02143 0
HG02144 0
HG02255 0
HG02256 0
HG02281 0
HG02282 0
HG02283 0
HG02284 0
HG02307 0
HG02308 0
HG02309 0
HG02314 0
HG02315 0
HG02317 0
HG02318 0
HG02322 0
HG02323 0
HG02325 0
HG02330 0
HG02332 0
HG02334 0
HG02337 0
HG02339 0
HG02343 0
HG02419 0
HG02420 0
HG02427 0
HG02429 0
HG02433 0
HG02439 0
HG02442 0
HG02445 0
HG02449 0
HG02450 0
HG02455 0
HG02461 0
HG02462 0
HG02464 0
HG02465 0
HG02470 0
HG02471 0
HG02476 0
HG02477 0
HG02479 0
HG02481 0
HG02484 0
HG02485 0
HG02489 0
HG02496 0
HG02497 0
HG02501 0
HG02502 0
HG02505 0
HG02508 0
HG02511 0
HG02536 0
HG02537 0
HG02541 0
HG02545 0
HG02546 0
HG02549 0
HG02554 0
HG02555 0
HG02557 0
HG02558 0
HG02561 0
HG02562 0
HG02568 0
HG02570 0
HG02571 0
HG02573 0
HG02574 0
HG02577 0
HG02580 0
HG02582 0
HG02583 0
HG02585 0
HG02586 0
HG02588 0
HG02589 0
HG02594 0
HG02595 0
HG02610 0
HG02611 0
HG02613 0
HG02614 0
HG02620 0
HG02621 0
HG02623 0
HG02624 0
HG02628 0
HG02629 0
HG02634 0
HG02635 0
HG02642 0
HG02643 0
HG02645 0
HG02646 0
HG02666 0
HG02667 0
HG02675 0
HG02676 0
HG02678 0
HG02679 0
HG02702 0
HG02703 0
HG02715 0
HG02716 0
HG02721 0
HG02722 0
HG02756 0
HG02757 0
HG02759 0
HG02760 0
HG02763 0
HG02768 0
HG02769 0
HG02771 0
HG02772 0
HG02798 0
HG02799 0
HG02804 0
HG02805 0
HG02807 0
HG02808 0
HG02810 0
HG02811 0
HG02813 0
HG02814 0
HG02816 0
HG02817 0
HG02819 0
HG02820 0
HG02836 0
HG02837 0
HG02839 0
HG02840 0
HG02851 0
HG02852 0
HG02854 0
HG02855 0
HG02860 0
HG02861 0
HG02870 0
HG02878 0
HG02879 0
HG02881 0
HG02882 0
HG02884 0
HG02885 0
HG02887 0
HG02888 0
HG02890 0
HG02891 0
HG02895 0
HG02896 0
HG02922 0
HG02923 0
HG02938 0
HG02941 0
HG02943 0
HG02944 0
HG02946 0
HG02947 0
HG02952 0
HG02953 0
HG02968 0
HG02970 0
HG02971 0
HG02973 0
HG02974 0
HG02976 0
HG02977 0
HG02979 0
HG02981 0
HG02982 0
HG02983 0
HG03024 0
HG03025 0
HG03027 0
HG03028 0
HG03039 0
HG03040 0
HG03045 0
HG03046 0
HG03048 0
HG03049 0
HG03052 0
HG03054 0
HG03055 0
HG03057 0
HG03058 0
HG03060 0
HG03061 0
HG03063 0
HG03064 0
HG03066 0
HG03069 0
HG03072 0
HG03073 0
HG03074 0
HG03077 0
HG03078 0
HG03079 0
HG03081 0
HG03082 0
HG03084 0
HG03085 0
HG03086 0
HG03088 0
HG03091 0
HG03095 0
HG03096 0
HG03097 0
HG03099 0
HG03100 0
HG03103 0
HG03105 0
HG03108 0
HG03109 0
HG03111 0
HG03112 0
HG03114 0
HG03115 0
HG03117 0
HG03118 0
HG03120 0
HG03121 0
HG03123 0
HG03124 0
HG03126 0
HG03127 0
HG03129 0
HG03130 0
HG03132 0
HG03133 0
HG03135 0
HG03136 0
HG03139 0
HG03157 0
HG03159 0
HG03160 0
HG03162 0
HG03163 0
HG03166 0
HG03168 0
HG03169 0
HG03172 0
HG03175 0
HG03189 0
HG03190 0
HG03193 0
HG03195 0
HG03196 0
HG03198 0
HG03199 0
HG03202 0
HG03209 0
HG03212 0
HG03224 0
HG03225 0
HG03240 0
HG03241 0
HG03246 0
HG03247 0
HG03258 0
HG03259 0
HG03265 0
HG03267 0
HG03268 0
HG03270 0
HG03271 0
HG03279 0
HG03280 0
HG03291 0
HG03294 0
HG03295 0
HG03297 0
HG03298 0
HG03300 0
HG03301 0
HG03303 0
HG03304 0
HG03311 0
HG03313 0
HG03342 0
HG03343 0
HG03351 0
HG03352 0
HG03354 0
HG03363 0
HG03366 0
HG03367 0
HG03369 0
HG03370 0
HG03372 0
HG03376 0
HG03378 0
HG03380 0
HG03382 0
HG03385 0
HG03388 0
HG03391 0
HG03394 0
HG03397 0
HG03401 0
HG03410 0
HG03419 0
HG03428 0
HG03432 0
HG03433 0
HG03436 0
HG03437 0
HG03439 0
HG03442 0
HG03445 0
HG03446 0
HG03449 0
HG03451 0
HG03452 0
HG03455 0
HG03457 0
HG03458 0
HG03460 0
HG03461 0
HG03464 0
HG03469 0
HG03470 0
HG03472 0
HG03473 0
HG03476 0
HG03478 0
HG03479 0
HG03484 0
HG03485 0
HG03499 0
HG03511 0
HG03514 0
HG03515 0
HG03517 0
HG03518 0
HG03520 0
HG03521 0
HG03538 0
HG03539 0
HG03547 0
HG03548 0
HG03556 0
HG03557 0
HG03558 0
HG03559 0
HG03563 0
HG03565 0
HG03567 0
HG03571 0
HG03572 0
HG03575 0
HG03577 0
HG03578 0
HG03583 0
NA18486 0
NA18488 0
NA18489 0
NA18498 0
NA18499 0
NA18501 0
NA18502 0
NA18504 0
NA18505 0
NA18507 0
NA18508 0
NA18510 0
NA18511 0
NA18516 0
NA18517 0
NA18519 0
NA18520 0
NA18522 0
NA18523 0
NA18853 0
NA18856 0
NA18858 0
NA18861 0
NA18864 0
NA18865 0
NA18867 0
NA18868 0
NA18870 0
NA18871 0
NA18873 0
NA18874 0
NA18876 0
NA18877 0
NA18878 0
NA18879 0
NA18881 0
NA18907 0
NA18908 0
NA18909 0
NA18910 0
NA18912 0
NA18915 0
NA18916 0
NA18917 0
NA18923 0
NA18924 0
NA18933 0
NA18934 0
NA19017 1
NA19019 1
NA19020 1
NA19023 1
NA19024 1
NA19025 1
NA19026 1
NA19027 1
NA19028 1
NA19030 1
NA19031 1
NA19035 1
NA19036 1
NA19037 1
NA19038 1
NA19041 1
NA19042 1
NA19043 1
NA19092 0
NA19093 0
NA19095 0
NA19096 0
NA19098 0
NA19099 0
NA19102 0
NA19107 0
NA19108 0
NA19113 0
NA19114 0
NA19116 0
NA19117 0
NA19118 0
NA19119 0
NA19121 0
NA19129 0
NA19130 0
NA19131 0
NA19137 0
NA19138 0
NA19141 0
NA19143 0
NA19144 0
NA19146 0
NA19147 0
NA19149 0
NA19152 0
NA19153 0
NA19159 0
NA19160 0
NA19171 0
NA19172 0
NA19175 0
NA19184 0
NA19185 0
NA19189 0
NA19190 0
NA19197 0
NA19198 0
NA19200 0
NA19201 0
NA19204 0
NA19206 0
NA19207 0
NA19209 0
NA19210 0
NA19213 0
NA19214 0
NA19222 0
NA19223 0
NA19225 0
NA19235 0
NA19236 0
NA19238 0
NA19239 0
NA19247 0
NA19248 0
NA19256 0
NA19257 0
NA19307 1
NA19308 1
NA19309 1
NA19310 1
NA19312 1
NA19314 1
NA19315 1
NA19316 1
NA19317 1
NA19318 1
NA19319 1
NA19320 1
NA19321 1
NA19323 1
NA19324 1
NA19327 1
NA19328 1
NA19331 1
NA19332 1
NA19334 1
NA19338 1
NA19346 1
NA19347 1
NA19350 1
NA19351 1
NA19355 1
NA19360 1
NA19372 1
NA19374 1
NA19375 1
NA19376 1
NA19377 1
NA19378 1
NA19379 1
NA19380 1
NA19383 1
NA19384 1
NA19385 1
NA19390 1
NA19391 1
NA19393 1
NA19394 1
NA19395 1
NA19397 1
NA19399 1
NA19401 1
NA19403 1
NA19404 1
NA19428 1
NA19429 1
NA19430 1
NA19431 1
NA19434 1
NA19435 1
NA19436 1
NA19437 1
NA19438 1
NA19439 1
NA19440 1
NA19443 1
NA19445 1
NA19446 1
NA19448 1
NA19449 1
NA19451 1
NA19452 1
NA19454 1
NA19455 1
NA19456 1
NA19457 1
NA19461 1
NA19462 1
NA19463 1
NA19466 1
NA19467 1
NA19468 1
NA19471 1
NA19472 1
NA19473 1
NA19474 1
NA19475 1
NA19625 0
NA19700 0
NA19701 0
NA19703 0
NA19704 0
NA19707 0
NA19711 0
NA19712 0
NA19713 0
NA19818 0
NA19819 0
NA19834 0
NA19835 0
NA19900 0
NA19901 0
NA19904 0
NA19908 0
NA19909 0
NA19913 0
NA19914 0
NA19916 0
NA19917 0
NA19920 0
NA19921 0
NA19922 0
NA19923 0
NA19982 0
NA19984 0
NA20126 0
NA20127 0
NA20274 0
NA20276 0
NA20278 0
NA20281 0
NA20282 0
NA20287 0
NA20289 0
NA20291 0
NA20294 0
NA20296 0
NA20298 0
NA20299 0
NA20314 0
NA20317 0
NA20318 0
NA20320 0
NA20321 0
NA20332 0
NA20334 0
NA20339 0
NA20340 0
NA20342 0
NA20346 0
NA20348 0
NA20351 0
NA20355 0
NA20356 0
NA20357 0
NA20359 0
NA20362 0
NA20412 0
